Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1985-10-13,Oh! Calcutta!,Edison Theatre,54314.0,3857,9
1985-10-13,Singin' in the Rain,Gershwin Theatre,362874.0,11472,8
1985-10-13,Song and Dance,Royale Theatre,262428.0,7491,8
1985-10-13,Sunday in the Park with George,Booth Theatre,190225.0,6055,8
1985-10-13,Tango Argentino,Mark Hellinger Theatre,300000.0,9000,8
1985-10-13,The Iceman Cometh,Lunt-Fontanne Theatre,163781.0,5539,6
1985-10-13,The Marriage of Figaro,Circle in the Square Theatre,60277.0,3614,8
1985-10-13,The Odd Couple,Broadhurst Theatre,199759.0,7466,8
1985-10-13,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,208191.0,8562,8
1985-10-20,42nd Street,St. James Theatre,319742.0,10307,8
1985-10-20,A Chorus Line,Sam S. Shubert Theatre,249316.0,8227,8
1985-10-20,As Is,Lyceum Theatre,70618.0,4081,8
1985-10-20,Big River,Eugene O'Neill Theatre,297818.0,8073,8
1985-10-20,Biloxi Blues,Neil Simon Theatre,250828.0,8906,8
1985-10-20,Brighton Beach Memoirs,46th Street Theatre,135685.0,7045,8
1985-10-20,Cats,Winter Garden Theatre,458863.0,12001,8
1985-10-20,Doubles,Ritz Theatre,92951.0,4557,8
1985-10-20,La Cage aux Folles,Palace Theatre,406785.0,11431,8
1985-10-20,Oh! Calcutta!,Edison Theatre,48137.0,3190,9
1985-10-20,Singin' in the Rain,Gershwin Theatre,386200.0,11787,8
1985-10-20,Song and Dance,Royale Theatre,261407.0,7290,8
1985-10-20,Tango Argentino,Mark Hellinger Theatre,317336.0,9274,8
1985-10-20,The Iceman Cometh,Lunt-Fontanne Theatre,168336.0,5737,6
1985-10-20,The Marriage of Figaro,Circle in the Square Theatre,73530.0,4226,8
1985-10-20,The Nerd,Helen Hayes Theatre,7500.0,175,3
1985-10-20,The Odd Couple,Broadhurst Theatre,197925.0,7638,8
1985-10-20,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,208373.0,8557,8
1985-10-27,42nd Street,St. James Theatre,302477.0,9746,8
1985-10-27,A Chorus Line,Sam S. Shubert Theatre,225653.0,7622,8
1985-10-27,As Is,Lyceum Theatre,65409.0,3765,8
1985-10-27,Big River,Eugene O'Neill Theatre,300103.0,8085,8
1985-10-27,Biloxi Blues,Neil Simon Theatre,235868.0,8605,8
1985-10-27,Brighton Beach Memoirs,46th Street Theatre,121542.0,6507,8
1985-10-27,Cats,Winter Garden Theatre,461482.0,12011,8
1985-10-27,Doubles,Ritz Theatre,80675.0,4032,8
1985-10-27,La Cage aux Folles,Palace Theatre,406665.0,11434,8
1985-10-27,Oh! Calcutta!,Edison Theatre,43253.0,2885,9
1985-10-27,Singin' in the Rain,Gershwin Theatre,354130.0,11318,8
1985-10-27,Song and Dance,Royale Theatre,215841.0,5917,8
1985-10-27,Tango Argentino,Mark Hellinger Theatre,370434.0,10752,8
1985-10-27,The Iceman Cometh,Lunt-Fontanne Theatre,164715.0,5619,6
1985-10-27,The Marriage of Figaro,Circle in the Square Theatre,72040.0,4272,8
1985-10-27,The Nerd,Helen Hayes Theatre,46000.0,1200,8
1985-10-27,The Odd Couple,Broadhurst Theatre,190225.0,7124,8
1985-10-27,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,213762.0,8527,8
1985-11-03,42nd Street,St. James Theatre,260710.0,8100,8
1985-11-03,A Chorus Line,Sam S. Shubert Theatre,199286.0,6578,8
1985-11-03,As Is,Lyceum Theatre,53973.0,3219,8
1985-11-03,Big River,Eugene O'Neill Theatre,280332.0,7788,8
1985-11-03,Biloxi Blues,Neil Simon Theatre,220024.0,8193,8
1985-11-03,Brighton Beach Memoirs,46th Street Theatre,112304.0,5910,8
1985-11-03,Cats,Winter Garden Theatre,465093.0,12029,8
1985-11-03,Doubles,Ritz Theatre,85944.0,4214,8
1985-11-03,La Cage aux Folles,Palace Theatre,359677.0,10521,8
1985-11-03,Oh! Calcutta!,Edison Theatre,39641.0,2686,9
1985-11-03,Singin' in the Rain,Gershwin Theatre,318284.0,9827,8
1985-11-03,Song and Dance,Royale Theatre,278580.0,7849,8
